Index,Designators,Part/Value,Package,LCSC_Part_Number,Quantity
1,"C1, C6, C8, C9, C14, C19, C23, C24, C26, C42, C43",1uF,C0603,C15849,11
2,"C2, C5, C16, C30, C36, C37, C40, C47, C49, C52",10uF,C0603,C96446,10
3,"C3, C31, C32, C33, C34, C35, C41, C46, C48, C51",100nF,C0603,C1591,10
4,"C18, C21, C25, C27",4.7uF,C0603,C307467,4
5,"C38, C39, C44, C45",100uF,C1206,C883598,4
6,"C7, C10, C28",22nF,C0603,C21122,3
7,"C12, C13, C15",CL10A475KL8NRNC,C0603,C307467,3
8,"C11, C20",4.7uF,C0603,C6119851,2
9,"C29, C50",10uF,C0603,C1591,2
10,C4,1.1nF,C0603,C6563232,1
11,C17,CL10B104KB8NNNC,C0603,C1591,1
12,C22,CL10A226MP8NUNE,C0603,C86295,1
13,"R1, R4, R5, R6, R7",RC0603FR-0710KL,R0603,C98220,5
14,"R15, R16, R31, R32, R33",100K,R0603,C14675,5
15,"R13, R24, R27, R28",10k,R0603,C25804,4
16,"R25, R26, R29, R30",0,R0603,C95177,4
17,"R8, R11",0603WAF1002T5E,R0603,C25804,2
18,"R18, R19",12K,R0603,C114659,2
19,R2,MFCR0603F3R00Q9R,R0603,C52069115,1
20,R3,0603WAF470LT5E,R0603,C23411,1
21,R9,158k,R0603,C22883,1
22,R10,51k,R0603,C107231,1
23,R12,18.2k,R0603,C22892,1
24,R14,200K,R0603,C105574,1
25,R17,300K,R0603,C2930091,1
26,R20,47K,R0603,C105579,1
27,R21,9K,R0603,C2998085,1
28,R22,10Ω,R0603,C109318,1
29,R23,"TRIMMER POT 200Ω",RES-ADJ-SMD_3P-L3.8-W3.7_VGF39NCHXT,C22461457,1
30,R35,330Ω,R0603,C105881,1
31,"L2, L3",CDH4D28N-100M,IND-SMD_L4.7-W4.7,C2875591,2
32,L1,3.3uH,IND-SMD_L5.4-W5.2_PSPMAA0503,C436534,1
33,"D1, D2, D3, D5",MBR0530T1G_C7436545,SOD-123_L2.8-W1.8-LS3.9-FD,C7436545,4
34,D4,PMEG2010AEH,115,SOD-123F_L2.8-W1.8-LS3.7-RD,C110921,1
35,"U1, U3, U9",AP2114H-3.3TRG1,SOT-223_L6.7-W3.5-P2.30-BR,C150716,3
36,"U5, U8, U10",RT9193-33GB,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,C15651,3
37,U2,ESP32-S3-WROOM-1U-N16R8,WIRELM-SMD_ESP32-S3-WROOM-1U,C3013946,1
38,U4,TPS61085DGKR,VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,C113659,1
39,U6,LT1615IS5#TRPBF,SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BL,C664389,1
40,U7,DSHP04TSGER_C3293144,SW-SMD_8P-L6.7-W5.4-P1.27-LS8.4,C3293144,1
41,"SW1, SW4",MK-12C02-G020,SW-SMD_MK-12C02-G020,C963206,2
42,"SW2, SW3",TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,C720477,2
43,"FPC2, FPC3, FPC4",FPC-05F-6PH20,FPC-SMD_6P-P0.50_XUNPU_FPC-05F-6PH20,C2856796,3
44,4PINFAN1,~,4PIN_FAN_PWM,,1
45,FLASH1,~,FLASH,,1
46,FPC1,FPC-0.5FX-24PWBH20,FPC-SMD_XUNPU-FPC-0.5FX-24PWBH20,C3446015,1
47,LED1,"HL-PST-1608H233W(8000-12000K)",LED-SMD_L1.6-W0.8-RD-WHITE-2,C219228,1
48,POWER1,~,POWER,,1
49,Q1,SI1308EDL-T1-BE3,SOT-323_L2.0-W1.3-P1.30-LS2.1-BR,C3289597,1
